Place,County/ies[3][note 3],Population[1],White[1],Other[1][note 1],Asian[1],Black or AfricanAmerican[1],Native American[1][note 2],Hispanic or Latino(of any race)[2]
Clio,Plumas,41,46.30%,53.70%,0.00%,0.00%,0.00%,53.70%
Kirkwood,AlpineAmador,123,46.30%,50.40%,3.30%,0.00%,0.00%,50.40%
South Gate,Los Angeles,"94,586",46.60%,51.40%,1.00%,0.50%,0.40%,95.30%
Cherryland,Alameda,"14,394",46.80%,31.10%,9.00%,8.60%,4.50%,55.90%
Rubidoux,Riverside,"37,874",46.90%,42.00%,3.50%,5.80%,1.80%,68.70%
Hawthorne,Los Angeles,"84,293",47.00%,18.70%,6.20%,27.10%,0.90%,53.00%
Fairfield,Solano,"104,404",47.10%,19.40%,15.50%,16.60%,1.50%,25.70%
Alpine Village,Alpine,180,47.20%,0.00%,0.00%,0.00%,52.80%,1.70%
Vineyard,Sacramento,"25,993",47.30%,10.30%,28.20%,12.30%,1.90%,15.10%
Fowler,Fresno,"5,434",47.60%,38.50%,11.30%,2.20%,0.40%,63.90%
San Jose,Santa Clara,"939,688",47.60%,16.20%,32.10%,3.00%,1.00%,33.00%
Big Lagoon,Humboldt,179,48.00%,0.00%,0.00%,0.00%,52.00%,1.70%
Livingston,Merced,"12,899",48.00%,32.80%,17.50%,0.90%,0.90%,71.50%
San Simeon,San Luis Obispo,571,48.00%,52.00%,0.00%,0.00%,0.00%,72.50%
Lanare,Fresno,428,48.40%,51.60%,0.00%,0.00%,0.00%,100.00%
Lawndale,Los Angeles,"32,652",48.40%,31.10%,10.90%,8.40%,1.10%,59.90%
Loma Linda,San Bernardino,"23,081",48.40%,15.00%,28.70%,6.80%,1.10%,22.80%
West Whittier-Los Nietos,Los Angeles,"25,358",48.40%,48.50%,1.20%,0.60%,1.30%,87.10%
American Canyon,Napa,"18,489",48.70%,9.40%,33.40%,6.50%,2.00%,24.70%
Eastvale,Riverside,"53,437",48.80%,17.40%,21.90%,10.90%,1.10%,40.10%
Johnsville,Plumas,82,48.80%,51.20%,0.00%,0.00%,0.00%,0.00%
Klamath,Del Norte,956,49.00%,21.80%,4.00%,0.30%,25.00%,8.30%
Irwindale,Los Angeles,"1,525",49.10%,44.50%,1.00%,1.00%,4.30%,92.50%
Norwalk,Los Angeles,"105,348",49.10%,32.10%,13.70%,4.40%,0.70%,69.00%
Fairview,Alameda,"9,597",49.20%,13.50%,18.10%,17.70%,1.50%,18.50%
Sacramento,Sacramento,"463,537",49.30%,15.20%,19.10%,13.90%,2.50%,26.00%
Sierraville,Sierra,229,49.30%,45.90%,0.00%,4.80%,0.00%,45.90%
Alameda,Alameda,"73,239",49.50%,9.80%,33.10%,6.70%,0.90%,11.80%
Calwa,Fresno,"1,467",49.50%,44.40%,6.10%,0.00%,0.00%,83.00%
Long Beach,Los Angeles,"462,197",49.70%,22.10%,13.20%,13.50%,1.50%,40.10%
Pinole,Contra Costa,"18,470",49.80%,16.80%,23.00%,10.10%,0.30%,21.70%
Guinda,Yolo,450,50.00%,14.40%,2.40%,33.10%,0.00%,12.20%
Mead Valley,Riverside,"17,498",50.00%,37.50%,1.80%,9.90%,0.80%,69.30%
Rodeo,Contra Costa,"8,786",50.10%,12.30%,22.80%,14.20%,0.50%,21.40%
Colton,San Bernardino,"52,283",50.20%,32.50%,5.20%,10.40%,1.60%,68.00%
Moreno Valley,Riverside,"190,977",50.40%,25.60%,5.40%,17.60%,1.00%,54.40%
South Monrovia Island,Los Angeles,"6,043",50.40%,37.70%,4.50%,7.20%,0.20%,74.30%
Torrance,Los Angeles,"144,622",50.50%,11.50%,34.70%,2.90%,0.40%,16.60%
Winterhaven,Imperial,493,50.90%,5.90%,10.80%,0.00%,32.50%,81.50%
Bay Point,Contra Costa,"21,987",51.00%,28.50%,7.60%,12.10%,0.80%,54.10%
Duarte,Los Angeles,"21,363",51.10%,24.90%,16.10%,7.50%,0.40%,46.10%
Rodriguez Camp,Tulare,205,51.20%,21.50%,0.00%,0.00%,27.30%,100.00%
San Francisco,San Francisco,"797,983",51.20%,8.20%,33.50%,6.20%,0.90%,14.90%
Lathrop,San Joaquin,"17,488",51.40%,16.20%,24.40%,5.80%,2.10%,44.70%
Freedom,Santa Cruz,"3,078",51.50%,43.90%,4.10%,0.00%,0.50%,66.40%
Antioch,Contra Costa,"101,118",51.70%,19.20%,9.80%,17.50%,1.80%,32.10%
Sunnyslope,Riverside,"4,919",51.70%,40.80%,6.60%,0.90%,0.00%,65.10%
Le Grand,Merced,"1,893",51.80%,47.40%,0.00%,0.00%,0.80%,88.40%
Saratoga,Santa Clara,"29,781",51.80%,3.60%,44.00%,0.50%,0.10%,3.00%
Camino Tassajara,Contra Costa,"1,813",51.90%,2.50%,45.60%,0.00%,0.00%,8.30%
Los Angeles,Los Angeles,"3,782,544",51.90%,26.40%,11.40%,9.60%,0.70%,48.10%
South Whittier,Los Angeles,"58,012",51.90%,42.20%,4.10%,0.80%,1.00%,77.30%
