ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2,"Black",2018,"2018",100497,96876,"San Luis Obispo County, CA","05000US06079","san-luis-obispo-county-ca"
2,"Black",2018,"2018",98905,12398,"San Mateo County, CA","05000US06081","san-mateo-county-ca"
2,"Black",2018,"2018",78419,12545,"Santa Clara County, CA","05000US06085","santa-clara-county-ca"
2,"Black",2018,"2018",92091,90156,"Santa Cruz County, CA","05000US06087","santa-cruz-county-ca"
2,"Black",2018,"2018",68475,65049,"Shasta County, CA","05000US06089","shasta-county-ca"
2,"Black",2018,"2018",61443,10242,"Solano County, CA","05000US06095","solano-county-ca"
2,"Black",2018,"2018",73043,20060,"Sonoma County, CA","05000US06097","sonoma-county-ca"
2,"Black",2018,"2018",66512,16171,"Stanislaus County, CA","05000US06099","stanislaus-county-ca"
2,"Black",2018,"2018",113403,106201,"Sutter County, CA","05000US06101","sutter-county-ca"
2,"Black",2018,"2018",40797,8804,"Tulare County, CA","05000US06107","tulare-county-ca"
2,"Black",2018,"2018",88478,20954,"Ventura County, CA","05000US06111","ventura-county-ca"
2,"Black",2018,"2018",55187,19393,"Yolo County, CA","05000US06113","yolo-county-ca"
2,"Black",2018,"2018",86632,63733,"Yuba County, CA","05000US06115","yuba-county-ca"
3,"Native American",2018,"2018",75900,28179.999999999996,"Alameda County, CA","05000US06001","alameda-county-ca"
3,"Native American",2018,"2018",55846,29182,"Butte County, CA","05000US06007","butte-county-ca"
3,"Native American",2018,"2018",76817,22194,"Contra Costa County, CA","05000US06013","contra-costa-county-ca"
3,"Native American",2018,"2018",46837,20137,"Fresno County, CA","05000US06019","fresno-county-ca"
3,"Native American",2018,"2018",52182,23274,"Humboldt County, CA","05000US06023","humboldt-county-ca"
3,"Native American",2018,"2018",33464,13804,"Kern County, CA","05000US06029","kern-county-ca"
3,"Native American",2018,"2018",55446,28202,"Kings County, CA","05000US06031","kings-county-ca"
3,"Native American",2018,"2018",24784,20621,"Lake County, CA","05000US06033","lake-county-ca"
3,"Native American",2018,"2018",65518,5146,"Los Angeles County, CA","05000US06037","los-angeles-county-ca"
3,"Native American",2018,"2018",37469,10879,"Madera County, CA","05000US06039","madera-county-ca"
3,"Native American",2018,"2018",52780,6184,"Mendocino County, CA","05000US06045","mendocino-county-ca"
3,"Native American",2018,"2018",24395,17381,"Merced County, CA","05000US06047","merced-county-ca"
3,"Native American",2018,"2018",68354,8080,"Monterey County, CA","05000US06053","monterey-county-ca"
3,"Native American",2018,"2018",87590,17818,"Orange County, CA","05000US06059","orange-county-ca"
3,"Native American",2018,"2018",39277,33369,"Placer County, CA","05000US06061","placer-county-ca"
3,"Native American",2018,"2018",63895,24537,"Riverside County, CA","05000US06065","riverside-county-ca"
3,"Native American",2018,"2018",49141,19686,"Sacramento County, CA","05000US06067","sacramento-county-ca"
3,"Native American",2018,"2018",57357,9093,"San Bernardino County, CA","05000US06071","san-bernardino-county-ca"
3,"Native American",2018,"2018",68294,23393,"San Diego County, CA","05000US06073","san-diego-county-ca"
3,"Native American",2018,"2018",108677,78184,"San Francisco County, CA","05000US06075","san-francisco-county-ca"
3,"Native American",2018,"2018",57007,29890,"San Joaquin County, CA","05000US06077","san-joaquin-county-ca"
3,"Native American",2018,"2018",108247,51495,"San Luis Obispo County, CA","05000US06079","san-luis-obispo-county-ca"
3,"Native American",2018,"2018",101675,72922,"San Mateo County, CA","05000US06081","san-mateo-county-ca"
3,"Native American",2018,"2018",62269,55388,"Santa Barbara County, CA","05000US06083","santa-barbara-county-ca"
3,"Native American",2018,"2018",85907,32370,"Santa Clara County, CA","05000US06085","santa-clara-county-ca"
3,"Native American",2018,"2018",81909,51339,"Santa Cruz County, CA","05000US06087","santa-cruz-county-ca"
3,"Native American",2018,"2018",30726,10260,"Shasta County, CA","05000US06089","shasta-county-ca"
3,"Native American",2018,"2018",101610,35145,"Solano County, CA","05000US06095","solano-county-ca"
3,"Native American",2018,"2018",105195,14883,"Sonoma County, CA","05000US06097","sonoma-county-ca"
3,"Native American",2018,"2018",49212,21937,"Stanislaus County, CA","05000US06099","stanislaus-county-ca"
3,"Native American",2018,"2018",53891,12751,"Sutter County, CA","05000US06101","sutter-county-ca"
3,"Native American",2018,"2018",46990,18076,"Tulare County, CA","05000US06107","tulare-county-ca"
3,"Native American",2018,"2018",80321,61169,"Ventura County, CA","05000US06111","ventura-county-ca"
3,"Native American",2018,"2018",77470,21427,"Yolo County, CA","05000US06113","yolo-county-ca"
4,"Asian",2018,"2018",128582,5963,"Alameda County, CA","05000US06001","alameda-county-ca"
4,"Asian",2018,"2018",50813,23391,"Butte County, CA","05000US06007","butte-county-ca"
4,"Asian",2018,"2018",130132,9631,"Contra Costa County, CA","05000US06013","contra-costa-county-ca"
4,"Asian",2018,"2018",120907,37144,"El Dorado County, CA","05000US06017","el-dorado-county-ca"
4,"Asian",2018,"2018",66421,9777,"Fresno County, CA","05000US06019","fresno-county-ca"
4,"Asian",2018,"2018",46156,18477,"Humboldt County, CA","05000US06023","humboldt-county-ca"
4,"Asian",2018,"2018",56279,13964.999999999998,"Kern County, CA","05000US06029","kern-county-ca"
4,"Asian",2018,"2018",72972,29429,"Kings County, CA","05000US06031","kings-county-ca"
4,"Asian",2018,"2018",44469,31704,"Lake County, CA","05000US06033","lake-county-ca"
4,"Asian",2018,"2018",78972,2033,"Los Angeles County, CA","05000US06037","los-angeles-county-ca"
4,"Asian",2018,"2018",63619,14298.000000000002,"Madera County, CA","05000US06039","madera-county-ca"
4,"Asian",2018,"2018",120368,48954,"Marin County, CA","05000US06041","marin-county-ca"
4,"Asian",2018,"2018",46442,29544.999999999996,"Mendocino County, CA","05000US06045","mendocino-county-ca"
4,"Asian",2018,"2018",68924,11801,"Merced County, CA","05000US06047","merced-county-ca"
4,"Asian",2018,"2018",71151,8731,"Monterey County, CA","05000US06053","monterey-county-ca"
4,"Asian",2018,"2018",124242,36412,"Napa County, CA","05000US06055","napa-county-ca"
4,"Asian",2018,"2018",91372,4226,"Orange County, CA","05000US06059","orange-county-ca"
4,"Asian",2018,"2018",130750,20106,"Placer County, CA","05000US06061","placer-county-ca"
4,"Asian",2018,"2018",84827,8258,"Riverside County, CA","05000US06065","riverside-county-ca"
4,"Asian",2018,"2018",79290,3999,"Sacramento County, CA","05000US06067","sacramento-county-ca"
4,"Asian",2018,"2018",83570,8666,"San Bernardino County, CA","05000US06071","san-bernardino-county-ca"
4,"Asian",2018,"2018",94688,6216,"San Diego County, CA","05000US06073","san-diego-county-ca"
4,"Asian",2018,"2018",88235,5087,"San Francisco County, CA","05000US06075","san-francisco-county-ca"
4,"Asian",2018,"2018",82123,11977,"San Joaquin County, CA","05000US06077","san-joaquin-county-ca"
4,"Asian",2018,"2018",52317,19149,"San Luis Obispo County, CA","05000US06079","san-luis-obispo-county-ca"
4,"Asian",2018,"2018",143984,6976,"San Mateo County, CA","05000US06081","san-mateo-county-ca"
4,"Asian",2018,"2018",86509,3968,"Santa Barbara County, CA","05000US06083","santa-barbara-county-ca"
4,"Asian",2018,"2018",153244,2182,"Santa Clara County, CA","05000US06085","santa-clara-county-ca"
4,"Asian",2018,"2018",61150,13595.000000000002,"Santa Cruz County, CA","05000US06087","santa-cruz-county-ca"
4,"Asian",2018,"2018",98394,7345,"Solano County, CA","05000US06095","solano-county-ca"
4,"Asian",2018,"2018",92467,8854,"Sonoma County, CA","05000US06097","sonoma-county-ca"
4,"Asian",2018,"2018",66410,23647,"Stanislaus County, CA","05000US06099","stanislaus-county-ca"
4,"Asian",2018,"2018",56441,5636,"Sutter County, CA","05000US06101","sutter-county-ca"
4,"Asian",2018,"2018",51790,13305,"Tulare County, CA","05000US06107","tulare-county-ca"
4,"Asian",2018,"2018",107328,10719,"Ventura County, CA","05000US06111","ventura-county-ca"
4,"Asian",2018,"2018",67188,26753,"Yolo County, CA","05000US06113","yolo-county-ca"
4,"Asian",2018,"2018",73595,36571,"Yuba County, CA","05000US06115","yuba-county-ca"
5,"Pacific Islander",2018,"2018",88182,31418.999999999996,"Alameda County, CA","05000US06001","alameda-county-ca"
5,"Pacific Islander",2018,"2018",94852,50111,"Contra Costa County, CA","05000US06013","contra-costa-county-ca"
5,"Pacific Islander",2018,"2018",58615,58676,"Fresno County, CA","05000US06019","fresno-county-ca"
5,"Pacific Islander",2018,"2018",70120,26825,"Kern County, CA","05000US06029","kern-county-ca"
5,"Pacific Islander",2018,"2018",71125,12782,"Los Angeles County, CA","05000US06037","los-angeles-county-ca"
5,"Pacific Islander",2018,"2018",30546,21392,"Marin County, CA","05000US06041","marin-county-ca"
5,"Pacific Islander",2018,"2018",141774,33398,"Orange County, CA","05000US06059","orange-county-ca"
5,"Pacific Islander",2018,"2018",41360,33496,"Riverside County, CA","05000US06065","riverside-county-ca"
5,"Pacific Islander",2018,"2018",69939,12352,"Sacramento County, CA","05000US06067","sacramento-county-ca"
5,"Pacific Islander",2018,"2018",75734,29836,"San Diego County, CA","05000US06073","san-diego-county-ca"
5,"Pacific Islander",2018,"2018",126224,81168,"San Francisco County, CA","05000US06075","san-francisco-county-ca"
5,"Pacific Islander",2018,"2018",83377,67156,"San Mateo County, CA","05000US06081","san-mateo-county-ca"
5,"Pacific Islander",2018,"2018",66048,25293,"Santa Clara County, CA","05000US06085","santa-clara-county-ca"
5,"Pacific Islander",2018,"2018",71134,21117,"Solano County, CA","05000US06095","solano-county-ca"
5,"Pacific Islander",2018,"2018",82231,69246,"Sonoma County, CA","05000US06097","sonoma-county-ca"
5,"Pacific Islander",2018,"2018",87014,11400,"Stanislaus County, CA","05000US06099","stanislaus-county-ca"
5,"Pacific Islander",2018,"2018",96797,45734,"Sutter County, CA","05000US06101","sutter-county-ca"
5,"Pacific Islander",2018,"2018",173799,55163.99999999999,"Ventura County, CA","05000US06111","ventura-county-ca"
6,"Other",2018,"2018",72888,5232,"Alameda County, CA","05000US06001","alameda-county-ca"
6,"Other",2018,"2018",46832,7923,"Butte County, CA","05000US06007","butte-county-ca"
6,"Other",2018,"2018",68783,7159.000000000001,"Contra Costa County, CA","05000US06013","contra-costa-county-ca"
6,"Other",2018,"2018",41587,2188,"Fresno County, CA","05000US06019","fresno-county-ca"
6,"Other",2018,"2018",39920,37850,"Humboldt County, CA","05000US06023","humboldt-county-ca"
6,"Other",2018,"2018",40662,5937,"Imperial County, CA","05000US06025","imperial-county-ca"
6,"Other",2018,"2018",46944,5852,"Kern County, CA","05000US06029","kern-county-ca"
6,"Other",2018,"2018",55705,10838,"Kings County, CA","05000US06031","kings-county-ca"
6,"Other",2018,"2018",41210,14199.000000000002,"Lake County, CA","05000US06033","lake-county-ca"
6,"Other",2018,"2018",54565,1147,"Los Angeles County, CA","05000US06037","los-angeles-county-ca"
6,"Other",2018,"2018",40272,6387,"Madera County, CA","05000US06039","madera-county-ca"
6,"Other",2018,"2018",77454,60198,"Marin County, CA","05000US06041","marin-county-ca"
6,"Other",2018,"2018",53453,6809,"Mendocino County, CA","05000US06045","mendocino-county-ca"
6,"Other",2018,"2018",53002,9142,"Merced County, CA","05000US06047","merced-county-ca"
6,"Other",2018,"2018",58623,6173,"Monterey County, CA","05000US06053","monterey-county-ca"
6,"Other",2018,"2018",52657,18953,"Napa County, CA","05000US06055","napa-county-ca"
6,"Other",2018,"2018",41539,1006,"Nevada County, CA","05000US06057","nevada-county-ca"
6,"Other",2018,"2018",62099,3538,"Orange County, CA","05000US06059","orange-county-ca"
6,"Other",2018,"2018",79219,30829.000000000004,"Placer County, CA","05000US06061","placer-county-ca"
6,"Other",2018,"2018",46645,2236,"Riverside County, CA","05000US06065","riverside-county-ca"
6,"Other",2018,"2018",48227,4681,"Sacramento County, CA","05000US06067","sacramento-county-ca"
6,"Other",2018,"2018",65074,4320,"San Bernardino County, CA","05000US06071","san-bernardino-county-ca"
6,"Other",2018,"2018",58206,4888,"San Diego County, CA","05000US06073","san-diego-county-ca"
6,"Other",2018,"2018",57082,15923.999999999998,"San Francisco County, CA","05000US06075","san-francisco-county-ca"
6,"Other",2018,"2018",59009,10656,"San Joaquin County, CA","05000US06077","san-joaquin-county-ca"
6,"Other",2018,"2018",97135,55131.00000000001,"San Luis Obispo County, CA","05000US06079","san-luis-obispo-county-ca"
6,"Other",2018,"2018",79436,5784,"San Mateo County, CA","05000US06081","san-mateo-county-ca"
6,"Other",2018,"2018",52966,12555,"Santa Barbara County, CA","05000US06083","santa-barbara-county-ca"
6,"Other",2018,"2018",77161,8374,"Santa Clara County, CA","05000US06085","santa-clara-county-ca"
6,"Other",2018,"2018",54985,6892,"Santa Cruz County, CA","05000US06087","santa-cruz-county-ca"
6,"Other",2018,"2018",43231,11326,"Shasta County, CA","05000US06089","shasta-county-ca"
6,"Other",2018,"2018",82378,12953,"Solano County, CA","05000US06095","solano-county-ca"
6,"Other",2018,"2018",51881,4726,"Sonoma County, CA","05000US06097","sonoma-county-ca"
6,"Other",2018,"2018",54989,9833,"Stanislaus County, CA","05000US06099","stanislaus-county-ca"
6,"Other",2018,"2018",74949,20940,"Sutter County, CA","05000US06101","sutter-county-ca"
6,"Other",2018,"2018",45189,8840,"Tulare County, CA","05000US06107","tulare-county-ca"
6,"Other",2018,"2018",70073,15602,"Ventura County, CA","05000US06111","ventura-county-ca"
6,"Other",2018,"2018",43234,19343,"Yolo County, CA","05000US06113","yolo-county-ca"
7,"Two Or More",2018,"2018",102242,14656,"Alameda County, CA","05000US06001","alameda-county-ca"
7,"Two Or More",2018,"2018",51584,18504,"Butte County, CA","05000US06007","butte-county-ca"
7,"Two Or More",2018,"2018",85429,16730,"Contra Costa County, CA","05000US06013","contra-costa-county-ca"
7,"Two Or More",2018,"2018",150610,49628,"El Dorado County, CA","05000US06017","el-dorado-county-ca"
7,"Two Or More",2018,"2018",60888,10642,"Fresno County, CA","05000US06019","fresno-county-ca"
7,"Two Or More",2018,"2018",72759,3974,"Humboldt County, CA","05000US06023","humboldt-county-ca"
7,"Two Or More",2018,"2018",62017,36435,"Imperial County, CA","05000US06025","imperial-county-ca"
7,"Two Or More",2018,"2018",46822,5862,"Kern County, CA","05000US06029","kern-county-ca"
7,"Two Or More",2018,"2018",147944,147272,"Kings County, CA","05000US06031","kings-county-ca"
7,"Two Or More",2018,"2018",73353,5078,"Los Angeles County, CA","05000US06037","los-angeles-county-ca"
7,"Two Or More",2018,"2018",66445,26342,"Madera County, CA","05000US06039","madera-county-ca"
7,"Two Or More",2018,"2018",152155,78752,"Marin County, CA","05000US06041","marin-county-ca"
7,"Two Or More",2018,"2018",25478,15961,"Mendocino County, CA","05000US06045","mendocino-county-ca"
7,"Two Or More",2018,"2018",49829,15897,"Merced County, CA","05000US06047","merced-county-ca"
7,"Two Or More",2018,"2018",86706,15214,"Monterey County, CA","05000US06053","monterey-county-ca"
